"phylum","class","order","spp","genomes","sequences","papers"
"Annelida","Clitellata","Enchytraeida",1,0,6,1
"Chordata","Aves","Cariamiformes",2,1,98622,0
"Porifera","Hexactinellida","Aulocalycoida",3,0,10,1
"Porifera","Demospongiae","Trachycladida",6,0,8,1
"Porifera","Demospongiae","Tetractinellida",305,0,1160,19
"Porifera","Demospongiae","Tethyida",65,0,173,2
"Porifera","Demospongiae","Suberitida",137,0,1119,6
"Porifera","Demospongiae","Spongillida",104,0,745,8
"Porifera","Demospongiae","Sphaerocladina",4,0,5,2
"Porifera","Demospongiae","Polymastiida",49,0,407,1
"Porifera","Demospongiae","Merliida",2,0,7,1
"Porifera","Demospongiae","Desmacellida",5,0,14,2
"Porifera","Demospongiae","Clionaida",122,0,704,3
"Porifera","Demospongiae","Bubarida",40,0,156,2
"Porifera","Demospongiae","Biemnida",16,0,51,3
"Porifera","Demospongiae","Axinellida",152,0,537,8
"Porifera","Demospongiae","Verongiida",72,0,434,3
"Porifera","Demospongiae","Chondrillida",29,0,155,3
"Arthropoda","Protura","Protura",51,0,153,47
"Arthropoda","Diplura","Diplura",73,1,54271,41
"Rotifera","Monogononta","Collothecaceae",2,0,2,0
"Mollusca","Bivalvia","Lucinoida",210,0,823,0
"Chordata","Mammalia","Litopterna",3,0,1,3
"Chordata","Mammalia","Notoungulata",1,0,0,8
"Chordata","Actinopteri","Chaetodontiformes",196,0,5119,0
"Chordata","Actinopteri","Holocentriformes",68,0,1287,0
"Chordata","Actinopteri","Centrarchiformes",252,1,523617,2
"Chordata","Actinopteri","Pempheriformes",132,0,2457,1
"Chordata","Actinopteri","Acanthuriformes",100,0,5013,0
"Chordata","Actinopteri","Spariformes",241,0,14356,2
"Chordata","Actinopteri","Ephippiformes",11,0,498,0
"Chordata","Actinopteri","Lobotiformes",6,0,144,1
"Chordata","Actinopteri","Labriformes",531,1,63010,2
"Chordata","Actinopteri","Uranoscopiformes",84,0,2453,1
"Chordata","Actinopteri","Blenniiformes",584,0,338973,6
"Chordata","Actinopteri","Pholidichthyiformes",1,0,39,1
"Chordata","Actinopteri","Cichliformes",2435,10,3530236,4
"Chordata","Actinopteri","Carangiformes",186,1,27709,0
"Chordata","Actinopteri","Istiophoriformes",16,0,4357,0
"Chordata","Actinopteri","Anabantiformes",275,0,7230,0
"Chordata","Actinopteri","Scombriformes",274,2,23630,2
"Chordata","Actinopteri","Gobiiformes",1482,4,139072,14
"Chordata","Actinopteri","Kurtiformes",210,0,3717,0
"Chordata","Actinopteri","Stylephoriformes",1,0,19,0
"Chordata","Actinopteri","Lepidogalaxiiformes",1,0,36,0
"Chordata","Actinopteri","Alepocephaliformes",59,0,379,1
"Chordata","Actinopteri","Hiodontiformes",2,0,127,0
"Echinodermata","Echinoidea","Salenioida",4,0,6,0
"Platyhelminthes","Cestoda","Onchoproteocephalidea",1,0,2,6
"Platyhelminthes","Cestoda","Phyllobothriidea",115,0,258,1
"Platyhelminthes","Cestoda","Bothriocephalidea",100,0,701,33
"Platyhelminthes",NA,"Fecampiida",1,0,2,6
"Chordata",NA,"Crocodylia",34,4,238143,122
"Platyhelminthes","Cestoda","Diphyllobothriidea",116,3,707607,28
"Nematoda","Enoplea","Muspiceida",4,0,8,1
"Mollusca","Solenogastres","Cavibelonia",12,0,31,0
"Mollusca","Solenogastres","Pholidoskepia",8,0,45,0
"Mollusca","Solenogastres","Neomeniamorpha",2,0,2,0
"Chordata","Mammalia","Cingulata",26,1,112535,195
"Chordata","Mammalia","Pilosa",15,1,24056,418
"Mollusca","Bivalvia","Nuculanoida",84,0,631,1
"Annelida","Polychaeta","Golfingiida",61,0,1036,0
"Echinodermata","Crinoidea","Millericrinida",27,0,0,1
